"freq","word1"
2733,"song"
2726,"law"
2726,"phone"
2725,"local"
2717,"hand"
2716,"late"
2711,"sunday"
2707,"means"
2695,"list"
2688,"plan"
2688,"red"
2684,"couple"
2677,"hot"
2671,"tweet"
2667,"saying"
2665,"students"
2661,"instead"
2660,"games"
2643,"seems"
2642,"important"
2632,"enjoy"
2629,"government"
2623,"several"
2622,"sleep"
2622,"special"
2609,"heard"
2606,"cut"
2590,"ok"
2585,"monday"
2582,"perfect"
2581,"move"
2577,"either"
2577,"talking"
2576,"share"
2574,"close"
2571,"sorry"
2565,"running"
2563,"president"
2553,"turn"
2551,"knew"
2544,"wrong"
2538,"film"
2532,"easy"
2529,"woman"
2527,"reason"
2519,"experience"
2516,"area"
2513,"pay"
2508,"project"
2496,"buy"
2496,"guess"
2492,"social"
2489,"light"
2489,"national"
2486,"video"
2485,"outside"
2480,"rather"
2466,"gets"
2456,"feeling"
2451,"future"
2448,"street"
2446,"problem"
2441,"hour"
2435,"john"
2435,"meet"
2418,"art"
2415,"goes"
2413,"health"
2413,"moment"
2407,"park"
2407,"question"
2405,"service"
2404,"behind"
2404,"order"
2401,"community"
2400,"child"
2399,"eat"
2396,"event"
2390,"sweet"
2386,"body"
2366,"short"
2358,"won"
2339,"write"
2326,"series"
2318,"matter"
2305,"girls"
2304,"ll"
2303,"deal"
2303,"history"
2291,"based"
2277,"living"
2274,"felt"
2270,"given"
2264,"decided"
2256,"welcome"
2251,"media"
2248,"road"
2238,"cause"
2237,"crazy"
2236,"front"
2236,"needed"
2234,"according"
2230,"gave"
2228,"glad"
2224,"rest"
2222,"self"
2213,"information"
2208,"fall"
2200,"system"
2199,"especially"
2197,"yourself"
2193,"green"
2192,"large"
2185,"paper"
2179,"april"
2168,"meeting"
2159,"boy"
2158,"break"
2153,"bed"
2153,"learn"
2147,"didn"
2143,"interesting"
2142,"program"
2136,"card"
2129,"whether"
2126,"college"
2125,"chance"
2118,"funny"
2118,"store"
2116,"across"
2113,"hair"
2111,"wow"
2096,"tv"
2091,"pick"
2088,"ya"
2087,"town"
2086,"single"
2074,"parents"
2073,"mr"
2073,"online"
2072,"death"
2072,"eyes"
2070,"wonderful"
2061,"starting"
2059,"gone"
2058,"tried"
2058,"yesterday"
2055,"walk"
2053,"visit"
2052,"picture"
2046,"email"
2045,"facebook"
2044,"york"
2040,"loved"
2037,"possible"
2036,"final"
2033,"third"
2032,"dinner"
2032,"spring"
2031,"seeing"
2030,"taken"
2021,"although"
2021,"christmas"
2013,"known"
2011,"court"
2006,"super"
2003,"wants"
2002,"son"
2000,"happen"
1999,"sounds"
1993,"obama"
1984,"board"
1984,"market"
1983,"rock"
1974,"send"
1970,"within"
1968,"looked"
1968,"understand"
1965,"south"
1962,"fans"
1961,"thursday"
1960,"lots"
1956,"former"
1953,"wanna"
1952,"definitely"
1948,"sense"
1946,"building"
1945,"inside"
1945,"works"
1943,"members"
1936,"worth"
1931,"church"
1930,"university"
1922,"waiting"
1920,"human"
1906,"ca"
1902,"fire"
1902,"lives"
1899,"site"
1892,"takes"
1891,"page"
1889,"available"
1889,"turned"
1885,"fan"
1879,"played"
